Ден,Бензин,Дизел,Пропан-бутан
20130101,2.49,2.54,1.38
20130102,2.49,2.55,1.38
20130103,2.48,2.54,1.38
20130104,2.47,2.53,1.38
20130105,2.49,2.55,1.38
20130106,2.49,2.55,1.38
20130107,2.49,2.55,1.38
20130108,2.49,2.55,1.38
20130109,2.49,2.55,1.38
20130110,2.51,2.53,1.38
20130111,2.52,2.54,1.38
20130112,2.53,2.55,1.38
20130113,2.53,2.55,1.38
20130114,2.53,2.55,1.38
20130115,2.53,2.55,1.38
20130116,2.53,2.55,1.38
20130117,2.52,2.55,1.38
20130118,2.52,2.55,1.38
20130119,2.53,2.57,1.38
20130120,2.53,2.57,1.38
20130121,2.53,2.57,1.38
20130122,2.53,2.57,1.38
20130123,2.5,2.55,1.38
20130124,2.49,2.54,1.38
20130125,2.49,2.54,1.38
20130126,2.54,2.55,1.4
20130127,2.54,2.55,1.4
20130128,2.54,2.55,1.4
20130129,2.54,2.55,1.4
20130130,2.54,2.55,1.4
20130131,2.58,2.57,1.4
20130201,2.57,2.56,1.4
20130202,2.58,2.57,1.4
20130203,2.61,2.57,1.4
20130204,2.61,2.57,1.4
20130205,2.61,2.57,1.4
20130206,2.61,2.57,1.4
20130207,2.59,2.55,1.4
20130208,2.6,2.56,1.4
20130209,2.61,2.57,1.4
20130210,2.61,2.57,1.4
20130211,2.61,2.57,1.4
20130212,2.61,2.57,1.4
20130213,2.61,2.62,1.4
20130214,2.6,2.61,1.4
20130215,2.6,2.61,1.4
20130216,2.64,2.66,1.4
20130217,2.64,2.66,1.4
20130218,2.64,2.66,1.4
20130219,2.64,2.66,1.4
20130220,2.64,2.66,1.4
20130221,2.66,2.65,1.4
20130222,2.66,2.65,1.4
20130223,2.65,2.66,1.4
20130224,2.65,2.66,1.36
20130225,2.65,2.66,1.36
20130226,2.65,2.66,1.34
20130227,2.65,2.66,1.34
20130228,2.64,2.65,1.34
20130301,2.64,2.66,1.34
20130302,2.64,2.66,1.34
20130303,2.64,2.66,1.34
20130304,2.64,2.66,1.34
20130305,2.64,2.66,1.34
20130306,2.64,2.66,1.28
20130307,2.63,2.66,1.28
20130308,2.6,2.63,1.28
20130309,2.6,2.63,1.28
20130310,2.6,2.63,1.28
20130311,2.6,2.63,1.28
20130312,2.6,2.63,1.28
20130313,2.6,2.63,1.28
20130314,2.6,2.63,1.28
20130315,2.59,2.63,1.28
20130316,2.6,2.63,1.28
20130317,2.6,2.63,1.28
20130318,2.6,2.63,1.28
20130319,2.6,2.63,1.28
20130320,2.6,2.63,1.28
20130321,2.59,2.62,1.28
20130322,2.59,2.62,1.28
20130323,2.6,2.63,1.28
20130324,2.6,2.63,1.28
20130325,2.6,2.63,1.28
20130326,2.6,2.63,1.28
20130327,2.6,2.63,1.28
20130328,2.61,2.61,1.25
20130329,2.61,2.62,1.25
20130330,2.63,2.63,1.25
20130331,2.63,2.63,1.25
20130401,2.63,2.63,1.25
20130402,2.61,2.61,1.25
20130403,2.63,2.63,1.22
20130404,2.61,2.61,1.22
20130405,2.61,2.61,1.22
20130406,2.63,2.63,1.2
20130407,2.63,2.63,1.2
20130408,2.63,2.63,1.2
20130409,2.63,2.63,1.2
20130410,2.58,2.61,1.18
20130411,2.57,2.59,1.18
20130412,2.57,2.59,1.18
20130413,2.57,2.6,1.17
20130414,2.57,2.6,1.17
20130415,2.57,2.6,1.17
20130416,2.57,2.6,1.17
20130417,2.55,2.59,1.17
20130418,2.54,2.58,1.17
20130419,2.54,2.58,1.17
20130420,2.55,2.59,1.17
20130421,2.55,2.59,1.17
20130422,2.55,2.59,1.17
20130423,2.55,2.59,1.17
20130424,2.55,2.59,1.17
20130425,2.53,2.57,1.17
20130426,2.54,2.58,1.17
20130427,2.59,2.61,1.19
20130428,2.59,2.61,1.19
20130429,2.59,2.61,1.19
20130430,2.59,2.61,1.19
20130501,2.59,2.6,1.19
