"lon","lat","Име","Адрес"
"24.185940","42.701954","Shell 1015 Пирдоп","Пирдоп, бул. Цар Освободител №2"
"26.301600","42.638302","Shell 3002 Сливен","Сливен, ул. Новозагорско шосе №37"
"23.557301","43.219700","Eko Враца","Враца, ул. Мито Орозов №65"
"24.139400","43.064201","Shell 2003 Ябланица","Ябланица, път 3, км 157+100 ляво"
"25.601200","42.416000","Shell 3009 Стара Загора","Стара Загора, бул. Цар Симеон Велики (кв. Железник)"
"24.308201","42.264198","Shell 4002 Пазарджик Юг","АМ Тракия, посока София-Бургас, km 89+400"
"23.297300","42.677399","Shell 3035 София Белите Брези","София, бул. България"
"23.392500","42.669300","Shell 3033 София Дружба","София, бул. Брюксел"
"23.293400","42.693901","Shell 3037 София Възкресение","София, бул. Възкресение №1"
"26.021200","42.502701","Shell 1025 Нова Загора","Нова Загора, бул. Сливенско шосе"
"26.199982","43.940628","Shell 1021 Сливо Поле","Сливо Поле, бул. България №2Б"
"26.499926","42.489407","Shell 3012 Ямбол","Ямбол, ул. Димитър Благоев №16"
"23.289801","42.650501","Shell 3007 София Бояна","София, околовръстно шосе, km 49+650"
"23.106300","42.610001","Shell 9003 Перник Струма","Перник, бул. Юрий Гагарин "
"23.223675","41.609638","Shell 9002 Плоски","Плоски, E79, km 414 ляво"
"27.439100","42.478901","Shell 3014 Бургас Акации","Бургас, ул. Чаталджа №16"
"26.265116","43.108044","Shell 6009 Кьосевци Запад","Кьосевци, път 4, km 191+420 ляво"
"23.276300","42.714298","Shell 3006 София Люлин","София, бул. Петър Дертлиев"
"25.579500","42.040600","Gazprom Димитровград","Димитровград, изход за града за Хасково"
"27.814301","43.571701","Shell 3011 Добрич","Добрич, ул. Хан Тервел №92"
"24.640955","43.403870","Shell 6013 Плевен Дружба","Плевен, ж.к. Дружба"
"24.352699","43.369400","Shell 6001 Горни Дъбник","Горни Дъбник, път 3, km 112+340 ляво"
"23.350599","42.702499","Shell 3026 София Владимир Вазов","София, бул. Владимир Вазов"
"23.145599","42.602501","Shell 2001 Драгичево","Драгичево, на път E79"
"27.021500","43.152000","АЛ+КО Ивански","Ивански, ул. Панайот Волов - срещу No.18"
"24.714100","43.178101","Shell 9005 Ловеч","Ловеч, път 35, км 36+801 ляво"
"25.642700","42.422798","Shell 6007 Траяна","Стара Загора, ул. Ангел Кънчев №2"
"23.949297","43.726456","Shell 9011 Оряхово","Оряхово, ул. Архитект Цолов №140"
"24.725500","42.139400","Gazprom Пещерско шосе","Пловдив, бул. Пещерско шосе №32"
"24.865801","42.015800","Shell 3001 Асеновград","Асеновград, бул. България"
"23.275400","42.687500","Shell 3018 София Красна Поляна","София, бул. Никола Мушанов №120"
"24.321943","42.185932","Shell 3029 Пазарджик Хеброс","Пазарджик, ул. Любен Боянов"
"23.381701","42.658600","Shell 3017 София Изток","София, бул. Цариградско шосе"
"24.529522","43.040211","Shell 6002 Микре","Микре, път 4, km 35 дясно"
"25.609800","43.073502","Shell 3031 Велико Търново","Велико Търново, ул. Магистрална №19"
"23.296413","42.731560","Shell 3023 София Ломско Шосе","София, бул. Ломско шосе"
"23.547932","42.355057","Shell 1024 Самоков","Самоков, гл. път Самоков - София"
"27.831524","43.106689","Gazprom Приселци","Приселци, гл. път Е87 (Варна-Бургас)"
"24.633400","42.197701","Shell 6006 Тракия юг","АМ Тракия, посока София-Бургас, km 118+035"
"25.902000","41.933102","Gazprom Харманли","Харманли, на гл. път Е80"
"24.740000","42.124001","Gazprom Никола Вапцаров","Пловдив, бул. Никола Вапцаров №91Б"
"27.463499","42.510300","Shell 3015 Бургас Колодрум","Бургас, бул. Струга №8"
"25.958401","43.833099","Shell 2007 Русе","Русе, бул. България №9"
"26.534456","43.521538","Shell 3004 Разград","Разград, бул. Априлско въстание"
"22.872601","44.001598","Gazprom Видин","Видин, бул. Панония №66 "
"23.457300","42.706902","Shell 3019 София Хемус","София, бул. Ботевградско шосе (изход от София)"
"23.744600","41.581001","Shell 1011 Гоце Делчев","Гоце Делчев, ул. Панаирски ливади"
"24.677010","42.153519","Gazprom Пловдив Костиево","Пловдив, Пазарджишко шосе (кръгово с Околовръстно шосе)"
"24.676607","41.594704","Gazprom Смолян","Смолян, ул. Невястата, вход от Пампорово "
"25.365938","41.627754","Rompetrol Кърджали Възрожденци","Кърджали, бул. Хр. Ботев №1 (кв. Възрожденци)"
"23.472799","41.877602","Rompetrol Разлог","Разлог, ул. Телемах Илиев №82"
"25.368000","41.652401","Rompetrol Кърджали Боровец","Кърджали, кв. Боровец - изход"
"24.715599","42.120602","Rompetrol Пловдив Коматевско шосе","Пловдив, бул. Коматевско шосе №94"
"27.395901","43.754601","Rompetrol Рубин","Тервел, ул. Хан Аспарух №1"
"24.708500","43.134800","Rompetrol Ловеч","Ловеч, ул. Стара планина №6"
"24.404016","43.032539","Rompetrol Сопот","Сопот, с. Сопот, главен път София-Варна"
"23.314720","42.735943","Rompetrol София 2","София, бул. Рожен №23"
"28.325300","43.435299","Rompetrol Логос","Каварна, ул. България №2А"
"27.425409","43.312263","Rompetrol Стандарт ойл","Ветрино, ул. Иван Вазов №26"
"27.727100","42.997002","Rompetrol Стандарт ойл","Долни Чифлик, близо до главен път Варна-Бургас"
"28.033899","43.525200","Rompetrol Тера ойл","Сенокос, път Добрич-Балчик"
"25.558758","41.939663","Rompetrol Хасково","Хасково, ул. Дунав №51"
"27.843599","43.533401","Rompetrol ДМТ","Бранище, главен път Добрич-Албена"
"25.301901","41.494900","Rompetrol Джебел","Джебел, главен път Джебел-Златоград"
"25.637199","43.337601","Rompetrol Хармония","Раданово, главен път Русе-Велико Търново"
"25.664000","42.402000","Rompetrol Стара Загора","Стара Загора, Околовръстен път към Бургас"
"22.878725","43.996864","Rompetrol Видин","Видин, бул. Цар Симеон Велики №76А"
"27.875799","43.234501","Rompetrol Бенита 1","Варна, бул. Освободител №177"
"24.341137","42.201019","Rompetrol Пазарджик","Пазарджик, кв. Младост, ул. Свобода"
"24.713301","42.908699","Rompetrol Троян","Троян, кв. Велчевски, ул. Васил Левски №358"
"24.803699","42.211601","Rompetrol Пловдив Тракия 132 km","АМ Тракия, 132-ри км , посока Бургас-София"
"26.488100","43.803600","Rompetrol Нурка ойл","Кубрат, ул. Цар Освободител №72"
"26.551067","42.402313","BP","Окоп, път Е79 Ямбол-Елхово"
"25.939116","43.832008","Rompetrol Жити","Русе, ул. Трети март №30"
"23.289162","42.738407","Rompetrol София 1","София, бул. Ломско шосе №175"
"24.468811","43.415195","Rompetrol Ема транс 3","Долни Дъбник, главен път Русе-София"
"24.552843","43.437744","Rompetrol Ема транс 1","Плевен, Индустриална зона"
"26.944614","43.261311","Rompetrol Ес Ес експрес","Шумен, бул. Ришки проход №35"
"27.824898","43.579487","Rompetrol Транспортна компания","Добрич, ул. Поп Богомил №3"
"27.426870","42.555748","Rompetrol Бургас 1","Бургас, главен път София-Бургас, 7-ми км."
"27.450001","42.516300","Rompetrol Бургас 2","Бургас, кв. Славейков, близо до бл. 72"
"27.630199","42.646801","Rompetrol Ахелой","Ахелой, път Ахелой-Каблешково-София"
"27.138399","43.835602","Rompetrol Дорост ойл","Дулово, ул. Стефан Стамболов №50"
"27.249794","44.115875","Rompetrol Вива","Силистра, ул. Лом №12"
"28.024799","43.692902","Rompetrol Арго трейд 95","Генерал Тошево, ул. Александър Стамболийски №23"
"23.384800","42.667900","Rompetrol София 3","София, кв. Дружба 1, бул. Цветан Лазаров №34"
"23.360500","42.699200","Rompetrol София 5","София, кв. Сухата река, ул. Александър Екзарх №11"
"25.323811","42.890453","Rompetrol Габрово","Габрово, ул. Христо Смирненски №39"
"26.427095","43.104473","Rompetrol Атлантик","Омуртаг, ул. Раковска №23"
"24.615299","43.354500","Rompetrol Ема транс 2","Брестовец, главен път Плевен-Ловеч"
"24.737000","42.190601","Rompetrol Пловдив Карловско шосе","Пловдив, бул. Карловско шосе"
"27.455000","42.528801","Gazprom Бургас","Бургас, бул. Транспортна №10"
"26.521250","43.523479","Rompetrol Девон трейд","Разград, бул. Априлско въстание №66"
"26.935499","43.274899","OMV Шумен","Шумен, бул. Симеон Велики"
"25.420401","42.616402","OMV Казанлък","Казанлък, бул. Княз Александър Батенберг №220"
"24.021292","42.954693","OMV Хемус","АМ Хемус, 57-ми km посока Варна-София (до с. Осиковица)"
"24.600700","43.423901","OMV Плевен","Плевен, ул. Цар Самуил"
"23.049999","42.607601","OMV Перник","Перник, бул. Юрий Гагарин"
"23.369900","42.690899","OMV Слатинска","София, ул. Слатинска №13"
"23.566303","43.195213","OMV Враца","Враца, бул. 2-ри юни №2"
"23.270399","41.546799","OMV Сандански","Сандански, на гл. път Е79"
"27.253599","44.113701","OMV Силистра","Силистра, пл. Албена №2"
"23.271700","42.658001","OMV Бъкстон","София, бул. Братя Бъкстон №83"
"26.522900","42.472900","OMV Ямбол","Ямбол, бул. Граф Игнатиев"
"23.123171","42.284981","OMV Дупница","Дупница, на гл. път E79"
"23.351200","42.701801","OMV Черковна","София, бул. Владимир Вазов №1"
"23.358299","42.663200","OMV Мусагеница","София, бул. Доктор Г. М. Димитров"
"25.066496","42.134533","OMV Поповица","Поповица, на гл. път E80"
"27.700399","42.693199","OMV Слънчев бряг","Слънчев бряг, на гл. път Варна-Бургас"
"26.668600","42.646500","OMV Петолъчката","Горно Александрово, на Петолъчката"
"26.550938","43.248837","OMV Търговище","Търговище, Околовръстно шосе"
"27.381807","42.607811","OMV Бургас Ветрен","Бургас, кв. Ветрен"
"25.630301","42.419498","OMV Ст. Загора Дезинтегратор","Стара Загора, бул. Руски №4"
"24.024700","42.957199","OMV Осиковица","АМ Хемус, km 57 посока София-Варна (до с. Осиковица)"
"25.317600","42.865398","OMV Габрово","Габрово, бул. Васил Априлов №54"
"23.214113","42.649258","Gazprom София - Черен кос","София, бул. Цар Борис III №509"
"23.481100","41.851299","Gazprom Банско","Банско, ул. Патриарх Евтимий №1 (местност Забиница)"
"27.461185","42.516174","OMV Бургас Ремиза","Бургас, бул. Стефан Стамболов №113"
"23.308393","42.710583","OMV Банишора","София, бул. Генерал Столетов №27"
"24.777901","42.149700","OMV Пловдив Мария Луиза","Пловдив, бул. Мария Луиза"
"23.428101","42.709599","OMV Враждебна","София, бул. Ботевградско шосе №2"
"23.379589","42.651180","OMV Младост 1А","София, бул. Александър Малинов"
"23.057301","42.030102","OMV Благоевград Е79","Благоевград, на гл. път Е79"
"23.272034","42.710575","OMV Люлин Тунела","София, бул. Пиротски"
"27.938499","43.220200","OMV Варна Бриз","Варна, бул. Васил Левски"
"25.041500","42.219002","OMV Белозем","АМ Тракия, посока Бургас-София (до с. Белозем)"
"23.276699","42.689499","OMV София - Никола Мушанов","София, бул. Никола Мушанов №114"
"24.130199","42.319500","OMV Виноградец","АМ Тракия, 73-ти км, посока София-Бургас"
"24.684263","41.583298","OMV Смолян","Смолян, ул. 1-ви Май №52"
"24.351187","42.186359","OMV Пазарджик","Пазарджик, ул. Пловдивска"
"23.410616","42.707077","OMV Автокам","София, бул. Ботевградско шосе №264"
"25.954201","43.833599","OMV Русе Мидия-Енос","Русе, бул. Мидия-енос (срещу централна ЖП гара)"
"27.902931","43.228527","OMV Варна Смирненски","Варна, бул. Цар Освободител №1"
"25.557442","41.952099","OMV Хасково","Хасково, ул. Димитровградско шосе"
"27.926973","43.219395","OMV Варна Мир","Варна, ул. Мир"
"27.877254","43.228500","OMV Варна Република","Варна, бул. Република"
"23.314037","42.732670","OMV Рожен","София, бул. Рожен №22"
"26.518311","43.528191","OMV Разград","Разград, бул. Странджа №1"
"27.115700","43.319801","OMV Каспичан Юг","АМ Хемус, km 356 посока София-Варна"
"24.734400","42.158001","OMV Пловдив С. Петербург","Пловдив, бул. България №97"
"23.385836","42.656933","OMV София - Цариградско шосе","София, бул. Цариградско шосе"
"25.615801","43.073700","OMV Велико Търново","Велико Търново, ул. Магистрална №15А"
"23.310900","42.703602","OMV Опълченска","София, ул. Опълченска №35"
"23.282301","42.716099","OMV София - Сливница","София, бул. Сливница №132"
"27.115801","43.320702","OMV Каспичан Север","АМ Хемус, km 356 посока Варна-София"
"26.010443","42.500744","OMV Нова Загора","Нова Загора, бул. Патриарх Евтимий"
"23.391735","42.661537","OMV Момина чешма","София, бул. Проф. Цветан Лазаров №1"
"22.866062","43.991974","OMV Видин","Видин, бул. Панония №46"
"27.452299","42.528301","OMV Бургас Изгрев","Бургас, бул. Стефан Стамболов №1"
"23.306761","42.722961","OMV Ломско шосе","София, бул. Ломско шосе №2"
"23.242872","42.682217","OMV Овча купел","София, ул. Бойчо Бойчев №66"
"25.973301","43.830154","OMV Русе Чародейка","Русе, бул. Христо Ботев"
"25.603701","42.055199","OMV Димитровград","Димитровград, ул. Димитър Благоев"
"27.837700","43.570202","OMV Добрия - Русия","Добрич, бул. Русия"
"27.911163","43.199299","OMV Варна Гарата","Варна, ул. Дунав №1"
"23.295601","42.691101","OMV Пробива","София, ул. Гюешево №83"
"23.141600","43.234299","OMV Берковица","Берковица, ул. Александровска"
"23.345062","42.628750","OMV Малинова долина","София, ул. Околовръстен път"
"23.377399","42.661701","OMV Цариградско шосе","София, бул. Цариградско шосе"
"25.606771","42.418888","OMV Ст. Загора Три Чучура","Стара Загора, бул. Цар Симеон Велики (ж.к. Три Чучура)"
"24.730379","42.161758","OMV Пловдив Филикон","Пловдив, бул. Дунав №1"
"23.228048","43.420860","OMV Монтана","Монтана, бул. 3-ти март"
"24.756168","42.129513","OMV Пловдив Кукленско шосе","Пловдив, ул. Кукленско шосе"
"23.341900","42.707901","OMV София - Резбарска","София, ул. Резбарска №4"
"23.290592","42.667568","OMV Бул. България","София, бул. България №45"
"23.095100","42.006401","OMV Благоевград","Благоевград, бул. Свети Димитър Солунски №77"
"25.620651","43.184658","OMV Поликраище","Поликраище, ул. Васил Левски №20"
"23.331001","42.711754","OMV Грънчарска","София, ул. 202-ра"
"27.896500","43.216000","OMV Варна Автоекспрес","Варна, бул. Владислав Варненчик №158"
"23.357700","42.651001","OMV 8-ми декември","София, ул. 8-ми декември"
"25.377752","41.629898","OMV Кърджали","Кърджали, бул. Беломорски"
"25.617100","43.073002","OMV Велико Търново Гама","Велико Търново, ул. Магистрална №6"
"23.287399","42.651501","OMV Бояна","София, ул. Околовръстен път"
"25.992544","43.852551","Gazprom Русе","Русе, бул. Липник №45"
"23.404331","42.641685","OMV София - Цариградско шосе","София, бул. Цариградско шосе"
"25.191200","42.192200","OMV Оризово","АМ Тракия, посока София-Бургас (до с. Оризово)"
"25.714947","43.469566","OMV Бяла","Бяла, ул. Кольо Фичето"
"23.171301","41.712898","Petrol 104","Кресна, път Е79 изход Кула"
"23.115801","41.897598","Petrol 103","Симитли, ул. Г. Димитров №1 (изход Благоевград)"
"23.079800","42.017300","Petrol 102","Благоевград, бул. Св. Димитър Солунски (изхода за София)"
"23.361799","41.384102","Petrol 107","Кулата, ГКПП Кулата"
"23.735300","41.570202","Petrol 112","Гоце Делчев, ул. Дунав (до плажа)"
"23.483700","41.844398","Petrol 113","Банско, вход Благоевград"
"23.438299","41.452599","Petrol 121","Катунци, изхода Гоце Делчев"
"22.708000","42.287899","Petrol 201","Кюстендил, бул. Софийско шосе (изход София)"
"22.668400","42.275101","Petrol 202","Кюстендил, ул. Гюешевско шосе (изход Гюешево)"
"23.094027","42.245037","Petrol 204","Дупница, ул. Св. Иван Рилски №317 (изход за Благоевград)"
"23.013300","42.350498","Petrol 205","Бобов дол, изход Дупница"
"23.039499","42.078899","Petrol 207","Кочериново, на гл. път Е79"
"27.438700","42.475399","Petrol 1101","Бургас,  кв. Победа"
"27.441200","42.520699","Petrol 1102","Бургас, кв. Славейков"
"27.457300","42.520401","Petrol 1103","Бургас, кв. Славейков, бул. Стефан Стамболов"
"27.473499","42.441700","Petrol 1107","Бургас, местност ПОДА (изход към Созопол)"
"27.744600","42.265202","Petrol 1108","Приморско, на входа на града"
"27.670099","42.405499","Petrol 1109","Созопол, на гл. път Бургас-Созопол"
"27.844400","42.172901","Petrol 1110","Царево, ул. Преображенска №38"
"27.521746","41.985310","Petrol 1112","Малко Търново, ул. България №50"
"27.605600","42.578400","Petrol 1116","Поморие, гл. път Варна-Бургас"
"27.564989","42.649776","Petrol 1117","Каблешково, пътя Бургас-Варна"
"27.705099","42.664902","Petrol 1118","Несебър, гл. път Бургас-Сл. Бряг"
"27.707600","42.691101","Petrol 1119","Слънчев бряг, в комплекса"
"27.706100","42.653301","Petrol 1120","Несебър, пътя Несебър - Равда (франчайз)"
"27.197203","42.352543","Petrol 1121","Средец, изхода за Бургас"
"27.937500","42.098999","Petrol 1125","Ахтопол, ул. Патриарх Евтимий"
"27.422899","42.107399","Petrol 1126","Звездец, път Бургас - М. Търново"
"27.420099","42.465900","Petrol 1128","Бургас, кв. Меден Рудник"
"27.464500","42.527802","Petrol 1129","Бургас, ж.к. Изгрев"
"26.717896","42.640591","Petrol 1132","Лозенец, на входа на с. Лозенец (посока Бургас-София)"
"26.310200","42.681099","Petrol 1201","Сливен, ул. Димитър Пехливанов-Добрович"
"25.908800","42.695301","Petrol 1207","Твърдица, път 662"
"26.013727","42.476826","Petrol 1208","Нова Загора, изход Раднево"
"26.458401","42.875500","Petrol 1209","Котел, на пътя Ямбол - Шумен"
"26.376101","42.673100","Petrol 1210","Сливен, бул. Бургаско шосе (м. Рамануша)"
"26.025801","42.503899","Petrol 1217","Нова Загора, изхода на града в посока Бургас"
"26.480801","42.497101","Petrol 1302","Ямбол, бул. Димитър Благоев"
"26.525400","42.499599","Petrol 1304","Ямбол, ул. Преслав (изход към Петолъчката)"
"26.482100","42.476299","Petrol 1305","Ямбол, кв. Каргона"
"26.575277","42.183376","Petrol 1308","Елхово, ул. Ал. Стамболийски (изход към Ямбол )"
"28.010500","43.232399","Petrol 2105","Варна, св. Константин и Елена"
"27.941200","43.223499","Petrol 2106","Варна, кв. Бриз"
"27.933201","43.214298","Petrol 2107","Варна, Акациите"
"28.036900","43.283199","Petrol 2108","Варна, к-с Златни Пясъци"
"27.444700","43.159801","Petrol 2113","Провадия, индустриална зона юг"
"27.595800","43.119301","Petrol 2114","Синдел, до с. Синдел"
"27.557501","43.413502","Petrol 2115","Вълчи дол, с. Вълчи дол"
"27.880501","42.885700","Petrol 2117","Бяла, на гл. път Бургас-Варна"
"27.849899","43.240101","Petrol 2119","Варна, Владиславово"
"27.840555","43.245865","Petrol 2120","Варна, ул. Янко Мустаков"
"27.901800","43.226200","Petrol 2121","Варна, ж.к. Победа"
"27.719601","43.191601","Petrol 2125","Белослав, до с. Белослав"
"27.586901","43.326401","Petrol 2128","Суворово, Суворово"
"27.878401","43.240200","Petrol 2129","Варна, кв. Възраждане"
"27.875401","43.222099","Petrol 2130","Варна, бул. Владислав Варненчик (изход за София)"
"27.854401","43.230301","Petrol 2131","Варна, кв. Владислав Варненчик, местност Голям пясък парцел 64"
"27.813101","43.129398","Petrol 2136","Варна, м. Харамията (на 5 км посока Бургас)"
"27.816200","43.578800","Petrol 2202","Добрич, ул. Калиакра"
"27.823099","43.547001","Petrol 2203","Добрич, ул. 25-ти септември №2 (изход за Варна)"
"27.421560","43.736839","Petrol 2205","Тервел, ул. Хан Аспарух №99"
"28.323500","43.435699","Petrol 2206","Каварна, ул. България"
"28.160400","43.426899","Petrol 2209","Балчик, ул. Дунав"
"28.067101","43.367802","Petrol 2210","Албена, к.к. Албена"
"27.818665","43.595360","Petrol 2212","Добрич, Северен околовръстен път за летището "
"27.786400","43.554401","Petrol 2213","Добрич, ул. 3-ти март №302"
"27.852600","43.576599","Petrol 2214","Добрич, ж.к. Балик"
"26.973400","43.280499","Petrol 2302","Шумен, бул. Симеон Велики №82 (изход за Варна)"
"26.936100","43.306198","Petrol 2304","Шумен, местност Мералък"
"26.913200","43.276600","Petrol 2305","Шумен, ул. Ген. Скобелев"
"26.821501","43.161499","Petrol 2307","Велики Преслав, ул. Борис Спиров №47"
"27.039801","43.056801","Petrol 2308","Смядово, местност Студен кладенец"
"26.915400","43.421799","Petrol 2310","Хитрино, Гара Хитрино"
"27.178598","43.329929","Petrol 2311","Нови Пазар, на гл. път Варна-София"
"27.190201","43.358501","Petrol 2312","Нови Пазар, изход Силистра"
"26.946501","43.271198","Petrol 2315","Шумен, ул. Индустриална №9"
"23.530001","43.222301","Petrol 3103","Враца, ул. Илинден"
"23.710178","43.133114","Petrol 3104","Мездра, вход от София"
"23.720699","43.147099","Petrol 3105","Мездра, център"
"23.930300","43.138599","Petrol 3106","Роман, "
"23.487440","43.362309","Petrol 3107","Криводол, вход от Враца"
"24.085699","43.491299","Petrol 3109","Кнежа, ул. Д. Бутански"
"23.761999","43.428699","Petrol 3110","Борован, изход за Оряхово"
"23.820499","43.691677","Petrol 3112","Гложене, кв. 83 (изход Оряхово)"
"23.761337","43.651291","Petrol 3117","Бутан, вход от Враца"
"23.523001","43.227100","Petrol 3118","Враца, Млекокооп"
"23.561131","43.202934","Petrol 3123","Враца, ж.к. Околчица"
"23.546597","43.208733","Petrol 3133","Враца, бул. Христо Ботев"
"22.873301","43.985600","Petrol 3201","Видин, ул. Митрополит Кирил №1"
"22.862400","43.964199","Petrol 3202","Видин, ж.к. Заводско селище"
"22.528999","43.897800","Petrol 3204","Кула, вход от Видин"
"22.684414","43.628891","Petrol 3207","Белоградчик, вход от Видин"
"22.818399","43.619499","Petrol 3210","Ружинци, на гл. път Е79 (изход Монтана)"
"22.650099","44.145267","Petrol 3211","Брегово, ул. Г. Димитров №54"
"22.846800","43.949600","Petrol 3212","Видин, ТЕЦ южна промишлена зона"
"23.205740","43.414143","Petrol 3303","Монтана, ул. Веренишка"
"23.293100","43.202499","Petrol 3305","Вършец, Вход от Враца"
"23.440100","43.703400","Petrol 3308","Вълчедръм, ул. Георги Кирков (изход за Лом)"
"23.358900","43.514000","Petrol 3309","Мърчево, изход за Оряхово"
"23.057800","43.407299","Petrol 3310","Гаврил Геново, Белоградчишко шосе"
"23.323296","43.491421","Petrol 3311","Бойчиновци, кв. Огоста"
"23.195900","43.820202","Petrol 3313","Лом, вход от Видин"
"24.620800","43.391800","Petrol 4101","Плевен, м. Кайлъка"
"24.652988","43.413742","Petrol 4102","Плевен, ул. Гривишко шосе"
"24.582899","43.431702","Petrol 4106","Плевен, на входа от София (Дунавия)"
"24.074301","43.270699","Petrol 4109","Червен бряг, до база Петрол"
"24.076651","43.279278","Petrol 4110","Червен бряг, до ж.п. гарата"
"24.186100","43.253201","Petrol 4111","Радомирци, пътя Плевен - София"
"25.063677","43.442047","Petrol 4113","Българене, на пътя за Русе"
"24.709999","43.628399","Petrol 4114","Гулянци, на изхода за Никопол и Плевен"
"24.852200","43.696899","Petrol 4115","Никопол, на изхода за Плевен"
"24.600603","43.639229","Petrol 4116","Брест, изхода за Плевен"
"25.121099","43.634602","Petrol 4123","Белене, на изхода за Плевен"
"25.624701","43.099899","Petrol 4203","Велико Търново, Вход от Русе"
"25.899200","42.928799","Petrol 4204","Елена, в индустриалната част"
"25.702000","43.127998","Petrol 4206","Горна Оряховица, до казармата"
"25.652399","43.153198","Petrol 4207","Първомайци, изход за Горна Оряховица"
"25.359600","43.616100","Petrol 4209","Свищов, на центъра"
"25.634199","43.357899","Petrol 4216","Полски Тръмбеш, изхода за Велико Търново"
"25.468399","43.421299","Petrol 4217","Масларево, път София - Варна"
"25.557699","43.196899","Petrol 4223","Ресен, изход Павликени"
"25.663300","43.071201","Petrol 4225","Велико Търново, ул. Магистрална (на входа от Варна)"
"25.610500","43.081402","Petrol 4228","Велико Търново, бул. България"
"25.309126","42.882183","Petrol 4301","Габрово, изход за Севлиево"
"25.329000","42.900101","Petrol 4302","Габрово, изход за Велико Търново"
"25.498501","42.876099","Petrol 4303","Трявна, изход за Габрово"
"25.464893","42.973232","Petrol 4304","Дряново, център"
"25.083401","43.031200","Petrol 4307","Севлиево, на входа от Плевен"
"24.703899","43.132099","Petrol 4401","Ловеч, ул. Доктор Съйко Съев (на изхода за София)"
"24.709734","42.867432","Petrol 4405","Троян, изход за Беклемето"
"24.157900","43.193401","Petrol 4409","Луковит, на входа от София"
"24.151501","43.094200","Petrol 4411","Златна Панега, на пътя за София"
"24.887848","43.047440","Petrol 4418","Малиново, на път 4 (София-Варна)"
"24.531300","43.040600","Petrol 4420","Микре, на пътя София-Варна"
"24.109640","43.023781","Petrol 4421","АМ Хемус, до Ябланица"
"24.763275","42.148705","Petrol 5101","Пловдив, бул. Източен №20А"
"24.756001","42.173901","Petrol 5102","Пловдив, ул. Брезовско шосе"
"24.766684","42.126286","Petrol 5104","Пловдив, бул. Начо Цанов (Асеновградско шосе)"
"24.732353","42.144245","Petrol 5106","Пловдив, бул. Васил Априлов №76"
"24.737921","42.183147","Petrol 5108","Пловдив, ул. Васил Левски №141"
"24.720400","42.157101","Petrol 5110","Пловдив, бул. България"
"24.759701","42.137901","Petrol 5115","Пловдив, ул. Родопи"
"24.469419","42.046684","Petrol 5117","Кричим, бул. Тракия №22"
"24.551001","42.158901","Petrol 5119","Цалапица, на гл. път Пловдив-Пазарджик (м. Орта Хан)"
"24.546812","42.271751","Petrol 5120","Съединение, бул. Пловдив"
"24.911425","42.271694","Petrol 5121","Раковски, кв. Парчевич"
"24.790480","42.095051","Petrol 5122","Пловдив, на пътя Пловдив-Асеновград"
"24.872700","41.994499","Petrol 5123","Асеновград, Бачковско шосе"
"24.874399","42.003799","Petrol 5124","Асеновград, ул. Цар Иван Асен II (железен мост)"
"24.999100","42.598000","Petrol 5127","Калофер, на път 6 (до гара Калофер)"
"24.700800","42.503899","Petrol 5131","Хисаря, бул. Христо Ботев"
"24.674200","42.204102","Petrol 5133","АМ Тракия, 124-ти кm, (посока Бургас-София)"
"24.549500","42.064701","Petrol 5134","Перущица, ул. Иван Вазов №1А"
"25.037300","42.203999","Petrol 5135","Белозем, на изхода към АМ Тракия"
"24.725700","42.164799","Petrol 5136","Пловдив, бул. Васил Априлов"
"24.795319","42.139645","Petrol 5137","Пловдив, жк Тракия, бул. Съединение"
"24.823999","42.632599","Petrol 5138","Карлово, "
"24.799101","42.131001","Petrol 5139","Пловдив, ж.р. Тракия, ул. Цар Симеон"
"24.324699","42.190800","Petrol 5202","Пазарджик, бул. Цар Освободител №43"
"24.134501","42.191002","Petrol 5205","Септември, на гл. път 8"
"24.002399","42.219898","Petrol 5206","Белово, на гл. път 8"
"24.187401","42.495998","Petrol 5208","Панагюрище, ул. Георги Бенковски"
"24.190258","41.940788","Petrol 5210","Батак, разклона за Доспат"
"23.997101","42.028801","Petrol 5211","Велинград, ул. Христо Ботев"
"24.166700","42.311901","Petrol 5215","АМ Тракия, до Калугерово"
"24.080200","42.336300","Petrol 5216","АМ Тракия, до Церово"
"24.335501","42.182400","Petrol 5222","Пазарджик, ул. Струма №49"
"24.762541","41.570099","Petrol 5301","Смолян, кв. Устово"
"24.412001","41.736599","Petrol 5306","Девин, на входа на града"
"24.713037","41.659412","Petrol 5307","Пампорово, на пътя Пампорово-Чепеларе"
"24.917318","41.532288","Petrol 5308","Средногорци, "
"25.081404","41.391697","Petrol 5309","Златоград, бул. България"
"24.850300","41.494202","Petrol 5311","Рудозем, "
"25.093197","41.446239","Petrol 5313","Неделино, "
"25.920900","43.805099","Petrol 6102","Русе, бул. 3-ти март (изход за София)"
"25.921900","43.804199","Petrol 6103","Русе, бул. 3-ти март (вход от София)"
"26.001200","43.853699","Petrol 6104","Русе, бул. Липник №128 (до  КАТ)"
"26.015499","43.874699","Petrol 6105","Русе, в  района на  Дунав мост"
"25.981800","43.811798","Petrol 6106","Русе, бул. Христо Ботев (изход за Варна )"
"25.863314","43.587116","Petrol 6109","Две могили, "
