"lon","lat","Име","Адрес"
"22.723700","42.298302","Lukoil B195","Кюстендил, ул. Софийско шосе (вход от София)"
"25.138300","43.368698","Lukoil B169","Левски, изход към Плевен"
"26.598000","41.964500","Lukoil F538","Лесово, Граничен комплекс Изгрев - вход в България"
"26.598900","41.963600","Lukoil F539","Лесово, Граничен комплекс Изгрев - изход от България"
"24.715401","43.153400","Lukoil B149","Ловеч, бул. Мизия, изход за Плевен"
"23.250401","43.813400","Lukoil B046","Лом, кв. Младеново, ул. Софийска №4"
"23.236200","43.802700","Lukoil B165","Лом, Белоградчишко шосе"
"25.724800","43.092800","Lukoil B037","Лясковец, ул. Васил Левски №227Б"
"23.719900","43.147900","Lukoil B045","Мездра, ул. Александър Стамболийски №24"
"23.237625","43.402050","Lukoil B122","Монтана, ул. Александър Стамболийски"
"23.228516","43.424934","Lukoil B095","Монтана, бул. 3-ти март №145"
"27.701500","42.664600","Lukoil F541","Несебър, ул. Хан Крум"
"26.000500","42.493999","Lukoil B072","Нова Загора, път за Свиленград"
"25.993000","42.498100","Lukoil B145","Нова Загора, кръстовище на път Русе-Елхово/София-Бургас"
"23.327499","42.789001","Lukoil B054","Нови Искър, ул. Искърско дефиле №1"
"23.954136","43.741577","Lukoil B182","Оряхово, кв. 2, вход от Мизия"
"25.297800","43.238800","Lukoil B170","Павликени, Индустриална зона, ул. Илия Златев"
"24.313200","42.182400","Lukoil B053","Пазарджик, ул. Христо Касапвелев (до казармата)"
"24.357815","42.186855","Lukoil B081","Пазарджик, ул. Пловдивска"
"24.319300","42.183601","Lukoil B118","Пазарджик, ул. Христо Касап Велев №2"
"24.311600","42.234200","Lukoil F518","Пазарджик, Панагюрски път, изход към АМ Тракия"
"24.169874","42.503639","Lukoil B098","Панагюрище, вход от Оборище"
"23.114901","42.604698","Lukoil B068","Перник, бул. Юрий Гагарин, кв. Ладовица"
"23.026400","42.617901","Lukoil B148","Перник, ул. Граово"
"23.257299","41.483002","Lukoil B003","Рибник, с. Рибник, Петричко"
"23.223045","41.398964","Lukoil B103","Петрич, Изход за Кулата"
"23.189600","41.396099","Lukoil B167","Петрич, ул. Рокфелер"
"24.294201","42.028301","Lukoil B159","Пещера, ул. Михаил Такев №9"
"24.165701","42.703800","Lukoil B168","Пирдоп, до Подбалкански път"
"24.588900","43.426300","Lukoil B060","Плевен, кв. Сторгозия, до ЛВТ"
"24.581800","43.432499","Lukoil B137","Плевен, изход за София"
"24.599600","43.435799","Lukoil B128","Плевен, до КАТ - север"
"24.743500","42.165600","Lukoil B018","Пловдив, Карловско шосе, изход"
"24.704300","42.132401","Lukoil B138","Пловдив, ул. Пещерско шосе №138 (вход от Пещера)"
"24.785601","42.102299","Lukoil B083","Пловдив, Асеновградско шосе (изход от града)"
"24.723097","42.157330","Lukoil B025","Пловдив, бул. България (срещу Захарна фабрика)"
"24.782000","42.148399","Lukoil B125","Пловдив, бул. Цариградско шосе"
"24.769400","42.152699","Lukoil B070","Пловдив, бул. Шести септември №242"
"24.701300","42.132599","Lukoil B092","Пловдив, бул. Пещерско шосе (изход към Пещера)"
"24.692699","42.152599","Lukoil B194","Пловдив, Пазарджишко шосе, 6-ти км"
"24.755600","42.119598","Lukoil B178","Пловдив, бул. Цар Борис ІІІ Обединител №4"
"24.784800","42.145401","Lukoil B059","Пловдив, бул. Освобождение №3"
