"lon","lat","Име","Адрес"
"23.421301","42.649502","Тенекс-С","София, ул. Капитан Любен Кондаков"
"25.382099","41.630199","Райков Сервиз Кърджали","Кърджали, източна промишлена зона"
"24.712799","42.135399","Арена","Пловдив, бул. Пещерско шосе №111"
"24.755100","42.129501","Лукс","Пловдив, ул. Даме Груев №64"
"24.736488","42.163895","Global Commerce Автогара Север","Пловдив, ул. Победа №77"
"27.891199","43.228802","Фаена","Варна, ул. Тролейна №48"
"27.306000","42.569801","Камено","Камено, ул. Христо Ботев"
"25.620501","42.080502","Райков Сервиз Димитровград","Димитровград, на изхода за Стара загора"
"24.707001","42.919899","Троянефт","Троян, ул. Васил Левски №481"
"23.141199","41.848598","Симитли","Симитли, по път Е79 след Симитли 5км."
"24.307699","42.263699","Райков Сервиз Пазарджик","АМ Тракия, до Шел Пазарджик (посока София-Бургас)"
"23.344263","42.711838","Круиз Първа Българска Армия","София, ул. Първа Българска Армия №90А"
"25.699600","42.445400","Метан","Хрищени, инд. зона"
"24.726601","42.164200","Райков Сервиз Пловдив","Пловдив, бул. Васил Априлов"
"24.757910","42.133209","Global Commerce надлез Родопи","Пловдив, ул. Найчо Цанов (до Petrol)"
"23.378511","42.650135","Метагаз","София, бул. Александър Малинов"
"23.282976","42.744068","Комплекс Кристал","София, бул. Ломско шосе №207"
"24.864708","42.582718","Люб и синове","Марино поле, гл. път 56 (между Баня и Васил Левски)"
"26.482800","42.536499","Райков Сервиз Кабиле","Кабиле, изход за АМ Тракия"
"27.440920","42.481956","Lukoil F557","Бургас, ул. Чаталджа №2"
"22.854160","44.003780","Китекс Ойл","Видин, Западна промишлена зона"
"23.555901","43.216919","Метан","Враца, ул. Драган Цанков №1Б (Източна промишлена зона)"
"24.763664","42.146442","Арена","Пловдив, бул. Източен"
"23.885254","42.912151","Метамодул","Разлив, до автомагистрала Хемус"
